id,fact
1,The Sun makes up more than 99.8% of the total mass of our Solar System.
2,A day on Venus is longer than its year.
3,Neutron stars are so dense that a sugar-cube-sized amount of material would weigh about a billion tons on Earth.
4,There are more stars in the universe than grains of sand on all the Earth's beaches.
5,The footprints left on the Moon by Apollo astronauts will likely remain for millions of years.
6,"Mars has the tallest volcano in the solar system — Olympus Mons, which is nearly three times the height of Mount Everest."
7,Jupiter has a magnetic field 14 times stronger than Earth's.
8,"Saturn's rings are made mostly of water ice and can stretch up to 282,000 km wide, but are less than a kilometer thick."
9,The Moon is slowly drifting away from Earth at a rate of about 3.8 cm per year.
10,A day on Mercury (one full rotation) lasts about 59 Earth days.
11,"In space, astronauts can grow up to 2 inches taller due to the lack of gravity compressing their spines."
12,"Pluto, once considered the ninth planet, was reclassified as a dwarf planet in 2006."
13,"There is a giant storm on Jupiter, known as the Great Red Spot, which has been raging for at least 400 years."
14,"Venus is the hottest planet in the Solar System, even hotter than Mercury, despite being farther from the Sun."
15,One million Earths could fit inside the Sun.
16,Astronauts’ suits cost about $12 million each.
17,"The International Space Station travels at about 28,000 kilometers per hour, orbiting Earth roughly every 90 minutes."
18,Black holes warp time and space so much that time slows down near them.
19,A spoonful of a white dwarf star would weigh as much as an elephant.
20,It takes sunlight about 8 minutes and 20 seconds to reach Earth.
